City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,sorland,67.667,12.6934,42.66,77,100,39.75,NO,1675807500
235,preston,53.7667,-2.7167,44.89,92,100,3.78,GB,1675807391
236,vestmannaeyjar,63.4427,-20.2734,31.64,62,100,36.22,IS,1675807500
237,bukama,-9.2,25.85,68.52,97,100,2.53,CD,1675807500
238,benghazi,32.1167,20.0667,55.35,58,100,12.24,LY,1675807430
239,altamont,42.2068,-121.7372,46.78,62,40,5.75,US,1675807501
240,jalu,29.0331,21.5482,52.48,52,100,7.87,LY,1675807501
241,carutapera,-1.195,-46.02,76.41,91,99,7.16,BR,1675807502
242,plougastel-daoulas,48.3667,-4.3667,39.22,67,0,12.66,FR,1675807503
243,lekoni,-1.5843,14.2591,75.88,75,99,5.39,GA,1675807504
244,tiksi,71.6872,128.8694,-25.82,99,100,3.96,RU,1675807504
245,phalombe,-15.8064,35.6507,66.76,97,100,2.08,MW,1675807505
246,marystown,47.1666,-55.1483,23.61,72,100,24.54,CA,1675807507
247,san nicolas,18.1725,120.5953,73.31,94,40,1.14,PH,1675807508
248,constitucion,-35.3333,-72.4167,68.65,57,11,9.19,CL,1675807509
249,lamu,-2.2717,40.902,79.02,88,45,11.65,KE,1675807511
250,filingue,14.3521,3.3168,78.51,13,91,8.84,NE,1675807513
251,hearst,49.6835,-83.6665,25.05,91,100,12.37,CA,1675807516
252,marsaxlokk,35.8419,14.5431,47.01,81,100,10.36,MT,1675807518
253,bathsheba,13.2167,-59.5167,79.41,73,40,16.11,BB,1675807518
254,palmerston,-12.486,130.9833,82.89,83,0,8.05,AU,1675807416
255,illapel,-31.6308,-71.1653,81.91,46,0,7.34,CL,1675807387
256,mehamn,71.0357,27.8492,35.51,70,43,27.85,NO,1675807272
257,paamiut,61.994,-49.6678,0.18,84,99,10.63,GL,1675807519
258,san matias,-16.3667,-58.4,78.73,85,100,0.96,BO,1675807525
259,kindu,-2.95,25.95,71.64,88,88,2.62,CD,1675807528
260,killybegs,54.6333,-8.45,40.71,89,27,8.7,IE,1675807529
261,aksarka,66.5606,67.7975,-0.69,90,100,16.44,RU,1675807539
262,samoded,63.6083,40.5111,31.8,90,100,12.01,RU,1675807540
263,wanning,18.8003,110.3967,71.28,93,17,3.24,CN,1675807424
264,cheney,47.4874,-117.5758,43.14,77,100,16.11,US,1675807540
265,taoudenni,22.6783,-3.9836,68.11,19,88,10.22,ML,1675807540
266,cururupu,-1.8283,-44.8683,75.42,91,100,3.58,BR,1675807541
267,pachino,36.7186,15.0907,48.88,57,100,17.47,IT,1675807545
268,kalmunai,7.4167,81.8167,76.57,87,76,8.01,LK,1675807546
269,olinda,-8.0089,-34.8553,82.13,54,20,9.22,BR,1675807546
270,oranjemund,-28.55,16.4333,63.1,96,79,13.22,NA,1675807547
271,johnstown,40.3267,-78.922,56.19,87,100,13.06,US,1675807264
272,waipawa,-41.4122,175.5153,65.62,67,19,3.33,NZ,1675807548
273,yar-sale,66.8333,70.8333,-4.59,93,99,14.23,RU,1675807548
274,nsanje,-16.92,35.262,74.55,88,100,1.88,MW,1675807549
275,aginskoye,51.1,114.53,-2.78,97,11,5.73,RU,1675807549
276,balykshi,47.0667,51.8667,23.0,86,75,29.08,KZ,1675807550
277,saint-pierre,-21.3393,55.4781,80.28,78,75,10.36,RE,1675807551
278,lykhivka,48.6874,33.9228,19.78,84,39,13.65,UA,1675807551
279,narsaq,60.9167,-46.05,-1.98,69,0,6.89,GL,1675807502
280,sinnamary,5.3833,-52.95,76.59,89,35,11.25,GF,1675807551
281,nadvoitsy,63.8667,34.3167,32.92,87,100,11.25,RU,1675807552
282,arraial do cabo,-22.9661,-42.0278,76.96,100,75,9.22,BR,1675807493
283,jahanabad,25.2167,84.9833,64.24,69,0,3.94,IN,1675807552
284,nikolskoye,59.7035,30.7861,30.09,89,99,10.16,RU,1675807447
285,the pas,53.8251,-101.2541,17.62,73,100,8.05,CA,1675807553
286,ben tre,10.2333,106.3833,74.21,90,90,5.61,VN,1675807553
287,lakselv,70.0513,24.9718,37.22,65,75,32.21,NO,1675807553
288,broken hill,-31.95,141.4333,74.55,26,0,13.4,AU,1675807554
289,dwarka,22.2394,68.9678,70.16,62,32,7.18,IN,1675807554
